UCSC_igenome	mm10
2300003K06Rik	Krtap4-27
Gm11568	Krtap9-21
Gm11559	Krtap9-20
Gm11567	Krtap9-22
Gm11565	Krtap31-3
Ttc25	Odad4
Ptrf	Cavin1
Fam134c	Retreg3
G6pc	G6pc1
1700006E09Rik	Cfap97d1
BC030867	Hrob
Gm1564	Meioc
1700023F06Rik	Efcab15
Gm884	Lrrc37
March10	Marchf10
LOC100503496	Gm45916
Fam104a	Vcf1
D11Wsu47e	Mtnap1
Dnaic2	Dnai2
AF251705	Cd300c2
Gm11710	Cd300ld4
Gm11711	Cd300ld5
Cd300lh	Cd300ld3
Slc9a3r1	Nherf1
Ict1	Mrpl58
Atp5h	Atp5pd
Hn1	Jpt1
2310067B10Rik	Tmem94
Smim6	Erln
Cdk3-ps	Cdk3
Gm11744	Prcd
1810032O08Rik	Snhg16
Sept9	Septin9
BC100451	Cep295nl
Enthd2	Tepsin
1810043H04Rik	Ndufaf8
2810410L24Rik	Reno1
Fam195b	Mcrip1
Stra13	Cenpx
Hexdc	Hexd
BC017643	Cybc1
BC068281	Wdcp
Fam49a	Cyria
Fam84a	Lratd1
Pqlc3	Slc66a3
2410004P03Rik	Cimip5
Gm9866	Silc1
Tssc1	Eipr1
Fam150b	Alkal2
Sypl	Sypl1
Twistnb	Polr1f
Gm5434	Ube2frt
Ispd	Crppa
2700097O09Rik	Mettl28
1700047I17Rik2	Fam177a2
1110008L16Rik	Prorp
E030019B13Rik	Sfta3
4921506M07Rik	Ttc6
Ctage5	Mia2
Fam179b	Togaram1
Atp5s	Dmac2l
Pcnxl4	Pcnx4
1700086L19Rik	Sertad4b
Gm10451	Ppp1r36dn
Fam71d	Garin2
Mpp5	Pals1
Synj2bp-cox16	S2bpcox16
Pcnx	Pcnx1
2410016O06Rik	Riox1
Elmsan1	Mideas
Ccdc176	Bbof1
Mfsd7c	Flvcr2
0610007P14Rik	Erg28
Gm8300	Eif1ad8
BB287469	Eif1ad2
Gm4027	Eif1ad6
Gm16381	Ubl5b
Gm21319	Eif1ad19
Gm2016	Eif1ad3
Gm2022	Eif1ad4
Gm10436	Pramel51
Gm5662	Eif1ad7
Gm5039	Eif1ad15
9030617O03Rik	Dglucy
Smek1	Ppp4r3a
Tmem251	Lyset
AK010878	Gon7
Wars	Wars1
AF357355	Gm26922
A230065H16Rik	Lbhd2
Apopt1	Coa8
2010107E04Rik	Atp5mj
Adssl1	Adss1
BC022687	Clba1
4930427A07Rik	Tedc1
Wdr60	Dync2i1
1700024F13Rik	2810429I04Rik
Fam208b	Tasor2
Ero1lb	Ero1b
A530099J19Rik	Gpr141b
Olfr1370	Or2p2
Olfr263	Or2w1
Olfr1368	Or2ad1
Olfr1367	Or2b28
Olfr1366	Or1f12
Olfr1535	Or2b7
Olfr1364	Or2w2
Olfr1362	Or2w4
Olfr11	Or2b6
Olfr1361	Or2w6
Olfr1359	Or2b2
Olfr1360	Or2b2b
Hist1h2bl	H2bc13
Hist1h2ai	H2ac13
Hist1h3h	H3c10
Hist1h2bm	H2bc14
Hist1h4j	H4c11
Hist1h4k	H4c12
